"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"1001_3ANTRAM-27_0","1","1","Zuid - P+R Luchtbal","Zuid - P+R Luchtbal","0","https://www.delijn.be/nl/lijnen/1001/?richtingCode=0","8C2B87","FFFFFF"
"1001_3ANTRAM-27_1","1","1","P+R Luchtbal - Zuid","P+R Luchtbal - Zuid","0","https://www.delijn.be/nl/lijnen/1001/?richtingCode=1","8C2B87","FFFFFF"
"1001_3ANTRAM-28_0","1","1","Zuid - P+R Luchtbal","Zuid - P+R Luchtbal","0","https://www.delijn.be/nl/lijnen/1001/?richtingCode=0","8C2B87","FFFFFF"
"1001_3ANTRAM-28_1","1","1","P+R Luchtbal - Zuid","P+R Luchtbal - Zuid","0","https://www.delijn.be/nl/lijnen/1001/?richtingCode=1","8C2B87","FFFFFF"
"1002_3ANTRAM-27_0","1","2","P+R Merksem - Zwaantjes","P+R Merksem - Zwaantjes","0","https://www.delijn.be/nl/lijnen/1002/?richtingCode=0","15882E","FFFFFF"
"1002_3ANTRAM-27_1","1","2","Zwaantjes - P+R Merksem","Zwaantjes - P+R Merksem","0","https://www.delijn.be/nl/lijnen/1002/?richtingCode=1","15882E","FFFFFF"
"1002_3ANTRAM-28_0","1","2","P+R Merksem - Zwaantjes","P+R Merksem - Zwaantjes","0","https://www.delijn.be/nl/lijnen/1002/?richtingCode=0","15882E","FFFFFF"
"1002_3ANTRAM-28_1","1","2","Zwaantjes - P+R Merksem","Zwaantjes - P+R Merksem","0","https://www.delijn.be/nl/lijnen/1002/?richtingCode=1","15882E","FFFFFF"
"1003_3ANTRAM-27_0","1","3","P+R Melsele - P+R Merksem","P+R Melsele - P+R Merksem","0","https://www.delijn.be/nl/lijnen/1003/?richtingCode=0","FFCC00","000000"
"1003_3ANTRAM-27_1","1","3","P+R Merksem - P+R Melsele","P+R Merksem - P+R Melsele","0","https://www.delijn.be/nl/lijnen/1003/?richtingCode=1","FFCC00","000000"
"1003_3ANTRAM-28_0","1","3","P+R Melsele - P+R Merksem","P+R Melsele - P+R Merksem","0","https://www.delijn.be/nl/lijnen/1003/?richtingCode=0","FFCC00","000000"
"1003_3ANTRAM-28_1","1","3","P+R Merksem - P+R Melsele","P+R Merksem - P+R Melsele","0","https://www.delijn.be/nl/lijnen/1003/?richtingCode=1","FFCC00","000000"
"1004_3ANTRAM-27_0","1","4","Berchem station - Hoboken","Berchem station - Hoboken","0","https://www.delijn.be/nl/lijnen/1004/?richtingCode=0","00A6E2","000000"
"1004_3ANTRAM-27_1","1","4","Hoboken - Berchem station","Hoboken - Berchem station","0","https://www.delijn.be/nl/lijnen/1004/?richtingCode=1","00A6E2","000000"
"1004_3ANTRAM-28_0","1","4","Berchem station - Hoboken","Berchem station - Hoboken","0","https://www.delijn.be/nl/lijnen/1004/?richtingCode=0","00A6E2","000000"
"1004_3ANTRAM-28_1","1","4","Hoboken - Berchem station","Hoboken - Berchem station","0","https://www.delijn.be/nl/lijnen/1004/?richtingCode=1","00A6E2","000000"
"1005_3ANTRAM-27_0","1","5","P+R Linkeroever - Wijnegem","P+R Linkeroever - Wijnegem","0","https://www.delijn.be/nl/lijnen/1005/?richtingCode=0","822A3A","FFFFFF"
"1005_3ANTRAM-27_1","1","5","Wijnegem - P+R Linkeroever","Wijnegem - P+R Linkeroever","0","https://www.delijn.be/nl/lijnen/1005/?richtingCode=1","822A3A","FFFFFF"
"1005_3ANTRAM-28_0","1","5","P+R Linkeroever - Wijnegem","P+R Linkeroever - Wijnegem","0","https://www.delijn.be/nl/lijnen/1005/?richtingCode=0","822A3A","FFFFFF"
"1005_3ANTRAM-28_1","1","5","Wijnegem - P+R Linkeroever","Wijnegem - P+R Linkeroever","0","https://www.delijn.be/nl/lijnen/1005/?richtingCode=1","822A3A","FFFFFF"
"1006_3ANTRAM-27_0","1","6","P+R Luchtbal - P+R Olympiade","P+R Luchtbal - P+R Olympiade","0","https://www.delijn.be/nl/lijnen/1006/?richtingCode=0","E6007E","FFFFFF"
"1006_3ANTRAM-27_1","1","6","P+R Olympiade - P+R Luchtbal","P+R Olympiade - P+R Luchtbal","0","https://www.delijn.be/nl/lijnen/1006/?richtingCode=1","E6007E","FFFFFF"
"1006_3ANTRAM-28_0","1","6","P+R Luchtbal - P+R Olympiade","P+R Luchtbal - P+R Olympiade","0","https://www.delijn.be/nl/lijnen/1006/?richtingCode=0","E6007E","FFFFFF"
"1006_3ANTRAM-28_1","1","6","P+R Olympiade - P+R Luchtbal","P+R Olympiade - P+R Luchtbal","0","https://www.delijn.be/nl/lijnen/1006/?richtingCode=1","E6007E","FFFFFF"
"1007_3ANTRAM-27_0","1","7","Eilandje - Mortsel","Eilandje - Mortsel","0","https://www.delijn.be/nl/lijnen/1007/?richtingCode=0","0056A4","FFFFFF"
"1007_3ANTRAM-27_1","1","7","Mortsel - Eilandje","Mortsel - Eilandje","0","https://www.delijn.be/nl/lijnen/1007/?richtingCode=1","0056A4","FFFFFF"
"1007_3ANTRAM-28_0","1","7","Eilandje - Mortsel","Eilandje - Mortsel","0","https://www.delijn.be/nl/lijnen/1007/?richtingCode=0","0056A4","FFFFFF"
"1007_3ANTRAM-28_1","1","7","Mortsel - Eilandje","Mortsel - Eilandje","0","https://www.delijn.be/nl/lijnen/1007/?richtingCode=1","0056A4","FFFFFF"
"1008_3ANTRAM-27_0","1","8","Astrid - P+R Wommelgem","Astrid - P+R Wommelgem","0","https://www.delijn.be/nl/lijnen/1008/?richtingCode=0","FC95C5","000000"
"1008_3ANTRAM-27_1","1","8","P+R Wommelgem - Astrid","P+R Wommelgem - Astrid","0","https://www.delijn.be/nl/lijnen/1008/?richtingCode=1","FC95C5","000000"
"1008_3ANTRAM-28_0","1","8","Astrid - P+R Wommelgem","Astrid - P+R Wommelgem","0","https://www.delijn.be/nl/lijnen/1008/?richtingCode=0","FC95C5","000000"
"1008_3ANTRAM-28_1","1","8","P+R Wommelgem - Astrid","P+R Wommelgem - Astrid","0","https://www.delijn.be/nl/lijnen/1008/?richtingCode=1","FC95C5","000000"
"1009_3ANTRAM-27_0","1","9","Regatta - Berchem Station","Regatta - Berchem Station","0","https://www.delijn.be/nl/lijnen/1009/?richtingCode=0","EF7D00","000000"
"1009_3ANTRAM-27_1","1","9","Berchem Station - Regatta","Berchem Station - Regatta","0","https://www.delijn.be/nl/lijnen/1009/?richtingCode=1","EF7D00","000000"
"1009_3ANTRAM-28_0","1","9","Regatta - Berchem Station","Regatta - Berchem Station","0","https://www.delijn.be/nl/lijnen/1009/?richtingCode=0","EF7D00","000000"
"1009_3ANTRAM-28_1","1","9","Berchem Station - Regatta","Berchem Station - Regatta","0","https://www.delijn.be/nl/lijnen/1009/?richtingCode=1","EF7D00","000000"
"1010_3ANTRAM-27_0","1","10","P+R Schoonselhof - Wijnegem","P+R Schoonselhof - Wijnegem","0","https://www.delijn.be/nl/lijnen/1010/?richtingCode=0","C8D300","000000"
"1010_3ANTRAM-27_1","1","10","Wijnegem - P+R Schoonselhof","Wijnegem - P+R Schoonselhof","0","https://www.delijn.be/nl/lijnen/1010/?richtingCode=1","C8D300","000000"
"1010_3ANTRAM-28_0","1","10","P+R Schoonselhof - Wijnegem","P+R Schoonselhof - Wijnegem","0","https://www.delijn.be/nl/lijnen/1010/?richtingCode=0","C8D300","000000"
"1010_3ANTRAM-28_1","1","10","Wijnegem - P+R Schoonselhof","Wijnegem - P+R Schoonselhof","0","https://www.delijn.be/nl/lijnen/1010/?richtingCode=1","C8D300","000000"
"1012_3ANTRAM-27_0","1","12","Centraal station - Schijnpoort","Centraal station - Schijnpoort","0","https://www.delijn.be/nl/lijnen/1012/?richtingCode=0","E40521","FFFFFF"
"1012_3ANTRAM-27_1","1","12","Schijnpoort - Centraal station","Schijnpoort - Centraal station","0","https://www.delijn.be/nl/lijnen/1012/?richtingCode=1","E40521","FFFFFF"
"1012_3ANTRAM-28_0","1","12","Centraal station - Schijnpoort","Centraal station - Schijnpoort","0","https://www.delijn.be/nl/lijnen/1012/?richtingCode=0","E40521","FFFFFF"
"1012_3ANTRAM-28_1","1","12","Schijnpoort - Centraal station","Schijnpoort - Centraal station","0","https://www.delijn.be/nl/lijnen/1012/?richtingCode=1","E40521","FFFFFF"
"1013_3AN1013-18_0","1","13","Opera - Hoboken - Polderstad","Opera - Hoboken - Polderstad","3","https://www.delijn.be/nl/lijnen/1013/?richtingCode=0","005460","FFFFFF"
"1013_3AN1013-18_1","1","13","Polderstad - Hoboken - Opera","Polderstad - Hoboken - Opera","3","https://www.delijn.be/nl/lijnen/1013/?richtingCode=1","005460","FFFFFF"
"1013_3AN1013-19_0","1","13","Opera - Hoboken - Polderstad","Opera - Hoboken - Polderstad","3","https://www.delijn.be/nl/lijnen/1013/?richtingCode=0","005460","FFFFFF"
"1013_3AN1013-19_1","1","13","Polderstad - Hoboken - Opera","Polderstad - Hoboken - Opera","3","https://www.delijn.be/nl/lijnen/1013/?richtingCode=1","005460","FFFFFF"
"1014_3AN1013-18_0","1","14","Opera - Hoboken - Hemiksem","Opera - Hoboken - Hemiksem","3","https://www.delijn.be/nl/lijnen/1014/?richtingCode=0","E40521","FFFFFF"
"1014_3AN1013-18_1","1","14","Hemiksem - Hoboken - Opera","Hemiksem - Hoboken - Opera","3","https://www.delijn.be/nl/lijnen/1014/?richtingCode=1","E40521","FFFFFF"
"1014_3AN1013-19_0","1","14","Opera - Hoboken - Hemiksem","Opera - Hoboken - Hemiksem","3","https://www.delijn.be/nl/lijnen/1014/?richtingCode=0","E40521","FFFFFF"
"1014_3AN1013-19_1","1","14","Hemiksem - Hoboken - Opera","Hemiksem - Hoboken - Opera","3","https://www.delijn.be/nl/lijnen/1014/?richtingCode=1","E40521","FFFFFF"
"1015_3ANTRAM-27_0","1","15","P+R Linkeroever - P+R Boechout","P+R Linkeroever - P+R Boechout","0","https://www.delijn.be/nl/lijnen/1015/?richtingCode=0","FFFFFF","4A5321"
"1015_3ANTRAM-27_1","1","15","P+R Boechout - P+R Linkeroever","P+R Boechout - P+R Linkeroever","0","https://www.delijn.be/nl/lijnen/1015/?richtingCode=1","FFFFFF","4A5321"
"1015_3ANTRAM-28_0","1","15","P+R Linkeroever - P+R Boechout","P+R Linkeroever - P+R Boechout","0","https://www.delijn.be/nl/lijnen/1015/?richtingCode=0","FFFFFF","4A5321"
"1015_3ANTRAM-28_1","1","15","P+R Boechout - P+R Linkeroever","P+R Boechout - P+R Linkeroever","0","https://www.delijn.be/nl/lijnen/1015/?richtingCode=1","FFFFFF","4A5321"
"1017_3AN1017-18_0","1","17","Brouwersvliet - Centraal Station - UZA","Brouwersvliet - Centraal Station - UZA","3","https://www.delijn.be/nl/lijnen/1017/?richtingCode=0","EF7D00","000000"
"1017_3AN1017-18_1","1","17","UZA - Centraal Station - Brouwersvliet","UZA - Centraal Station - Brouwersvliet","3","https://www.delijn.be/nl/lijnen/1017/?richtingCode=1","EF7D00","000000"
"1017_3AN1017-19_0","1","17","Brouwersvliet - Centraal Station - UZA","Brouwersvliet - Centraal Station - UZA","3","https://www.delijn.be/nl/lijnen/1017/?richtingCode=0","EF7D00","000000"
"1017_3AN1017-19_1","1","17","UZA - Centraal Station - Brouwersvliet","UZA - Centraal Station - Brouwersvliet","3","https://www.delijn.be/nl/lijnen/1017/?richtingCode=1","EF7D00","000000"
"1019_3AN1019-14_0","1","19","Sport - Deurne Zuid","Sport - Deurne Zuid","3","https://www.delijn.be/nl/lijnen/1019/?richtingCode=0","15882E","FFFFFF"
"1019_3AN1019-14_1","1","19","Deurne Zuid - Sport","Deurne Zuid - Sport","3","https://www.delijn.be/nl/lijnen/1019/?richtingCode=1","15882E","FFFFFF"
"1019_3AN1019-15_0","1","19","Sport - Deurne Zuid","Sport - Deurne Zuid","3","https://www.delijn.be/nl/lijnen/1019/?richtingCode=0","15882E","FFFFFF"
